installer,target,package_name,url,confidence
apt,dub,dub,https://repology.org/project/dub/versions,repology
apt,Elm,elm-compiler,https://repology.org/project/elm-compiler/versions,repology
apt,Go,golang-1.25,https://repology.org/project/go/versions,repology
apt,Gradle,gradle,https://repology.org/project/gradle/versions,repology
apt,Guix,guix,https://repology.org/project/guix/versions,repology
apt,Helm,kubernetes-helm,https://repology.org/project/kubernetes-helm/versions,repology
apt,Hex,elixir-lang,https://repology.org/project/elixir/versions,repology
apt,Julia,julia,https://repology.org/project/julia/versions,repology
apt,LuaRocks,luarocks,https://repology.org/project/luarocks/versions,repology
apt,Maven,maven,https://repology.org/project/maven/versions,repology
apt,Nix,nix,https://repology.org/project/nix/versions,repology
apt,npm,npm,https://repology.org/project/npm/versions,repology
apt,NuGet,nuget,https://repology.org/project/nuget/versions,repology
apt,opam,opam,https://repology.org/project/opam/versions,repology
apt,pacman,pacman-package-manager,https://repology.org/project/pacman-package-manager/versions,repology
apt,pdm,pdm,https://repology.org/project/pdm/versions,repology
apt,pip,python-pip,https://repology.org/project/pip/versions,repology
apt,Poetry,poetry,https://repology.org/project/poetry/versions,repology
apt,RubyGems,ruby3.3,https://repology.org/project/ruby/versions,repology
apt,Stack,haskell-stack,https://repology.org/project/haskell:stack/versions,repology
apt,uv,uv,https://repology.org/project/uv/versions,repology
apt,Yarn,node-yarnpkg,https://repology.org/project/yarn/versions,repology
Bun,Bun,bun,https://www.npmjs.com/package/bun,ecosystems
Bun,Elm,elm,https://www.npmjs.com/package/elm,ecosystems
Bun,Maven,,https://www.npmjs.com/package/maven-artifact-version,squat
Bun,npm,npm,https://www.npmjs.com/package/npm,ecosystems
Bun,pnpm,pnpm,https://www.npmjs.com/package/pnpm,ecosystems
Bun,Yarn,yarn,https://www.npmjs.com/package/yarn,ecosystems
Bundler,Bundler,bundler,https://rubygems.org/gems/bundler,manual
Bundler,CocoaPods,cocoapods,https://rubygems.org/gems/cocoapods,manual
Bundler,RubyGems,rubygems-update,https://rubygems.org/gems/rubygems-update,manual
Cabal,Cabal,cabal-install,https://hackage.haskell.org/package/cabal-install,manual
Cargo,Cargo,cargo,https://crates.io/crates/cargo/,ecosystems
Cargo,pnpm,,https://crates.io/crates/pnpm-registry,squat
Cargo,uv,uv,https://crates.io/crates/uv/,ecosystems
Composer,Composer,composer/composer,https://packagist.org/packages/composer/composer#,ecosystems
Conda,Cabal,cabal,https://anaconda.org/conda-forge/cabal,ecosystems
Conda,Cargo,rust,https://anaconda.org/anaconda/rust,ecosystems
Conda,Conan,conan,https://anaconda.org/conda-forge/conan,ecosystems
Conda,Conda,conda,https://anaconda.org/anaconda/conda,ecosystems
Conda,dub,dub,https://anaconda.org/conda-forge/dub,ecosystems
Conda,Elm,elm,https://anaconda.org/conda-forge/elm,ecosystems
Conda,Go,go-cgo_win-64,https://anaconda.org/anaconda/go-cgo_win-64,ecosystems
Conda,Gradle,gradle,https://anaconda.org/conda-forge/gradle,ecosystems
Conda,Helm,kubernetes-helm,https://anaconda.org/conda-forge/kubernetes-helm,ecosystems
Conda,Julia,julia,https://anaconda.org/conda-forge/julia,ecosystems
Conda,LuaRocks,luarocks,https://anaconda.org/anaconda/luarocks,ecosystems
Conda,Maven,maven,https://anaconda.org/anaconda/maven,ecosystems
Conda,Nix,nix,https://anaconda.org/conda-forge/nix,ecosystems
Conda,opam,opam,https://anaconda.org/conda-forge/opam,ecosystems
Conda,pdm,pdm,https://anaconda.org/anaconda/pdm,ecosystems
Conda,pip,pip,https://anaconda.org/conda-forge/pip,ecosystems
Conda,Poetry,poetry,https://anaconda.org/conda-forge/poetry,ecosystems
Conda,Stack,stack,https://anaconda.org/conda-forge/stack,ecosystems
Conda,uv,uv-build,https://anaconda.org/anaconda/uv-build,ecosystems
Conda,vcpkg,vcpkg,https://anaconda.org/conda-forge/vcpkg,ecosystems
Conda,Yarn,yarn,https://anaconda.org/conda-forge/yarn,ecosystems
CPAN,CPAN,Bundle-CPAN,https://metacpan.org/dist/Bundle-CPAN,ecosystems
DNF,apk,apk-tools,https://repology.org/project/apk-tools/versions,repology
DNF,apt,apt,https://repology.org/project/apt/versions,repology
DNF,Bundler,rubygem-bundler,https://repology.org/project/ruby:bundler/versions,repology
DNF,Cabal,cabal-install,https://repology.org/project/cabal-install/versions,repology
DNF,Cargo,rust-cargo,https://repology.org/project/cargo/versions,repology
DNF,Composer,composer,https://repology.org/project/php:composer/versions,repology
DNF,Conan,conan,https://repology.org/project/conan/versions,repology
DNF,Conda,conda,https://repology.org/project/conda/versions,repology
DNF,CPAN,perl,https://repology.org/project/perl/versions,repology
DNF,CRAN,R,https://repology.org/project/r/versions,repology
DNF,DNF,dnf,https://repology.org/project/dnf/versions,repology
DNF,dub,dub,https://repology.org/project/dub/versions,repology
DNF,Go,golang,https://repology.org/project/go/versions,repology
DNF,Gradle,gradle,https://repology.org/project/gradle/versions,repology
DNF,Hackage,cabal-install,https://repology.org/project/cabal-install/versions,repology
DNF,Helm,helm,https://repology.org/project/kubernetes-helm/versions,repology
DNF,Hex,elixir,https://repology.org/project/elixir/versions,repology
DNF,Julia,julia,https://repology.org/project/julia/versions,repology
DNF,LuaRocks,luarocks,https://repology.org/project/luarocks/versions,repology
DNF,Maven,maven,https://repology.org/project/maven/versions,repology
DNF,Nix,nix,https://repology.org/project/nix/versions,repology
DNF,npm,npm,https://repology.org/project/npm/versions,repology
DNF,NuGet,nuget,https://repology.org/project/nuget/versions,repology
DNF,opam,opam,https://repology.org/project/opam/versions,repology
DNF,pacman,pacman,https://repology.org/project/pacman-package-manager/versions,repology
DNF,pip,python3.14-pip,https://repology.org/project/pip/versions,repology
DNF,pnpm,nodejs-pnpm,https://repology.org/project/pnpm/versions,repology
DNF,Poetry,poetry,https://repology.org/project/poetry/versions,repology
DNF,RubyGems,ruby,https://repology.org/project/ruby/versions,repology
DNF,Stack,stack,https://repology.org/project/haskell:stack/versions,repology
DNF,uv,uv,https://repology.org/project/uv/versions,repology
DNF,vcpkg,vcpkg,https://repology.org/project/vcpkg/versions,repology
DNF,Yarn,yarnpkg,https://repology.org/project/yarn/versions,repology
Gradle,Bun,org.mvnpm:bun,https://central.sonatype.com/artifact/org.mvnpm/bun/,ecosystems
Gradle,Gradle,dev.gradleplugins:gradle-api,https://central.sonatype.com/artifact/dev.gradleplugins/gradle-api/,ecosystems
Gradle,Maven,org.apache.maven:maven,https://central.sonatype.com/artifact/org.apache.maven/maven/,ecosystems
Gradle,npm,org.webjars.npm:npm,https://central.sonatype.com/artifact/org.webjars.npm/npm/,ecosystems
Gradle,pnpm,,https://central.sonatype.com/artifact/org.mvnpm.at.pnpm/error/,squat
Gradle,Yarn,org.webjars.npm:yarn,https://central.sonatype.com/artifact/org.webjars.npm/yarn/,ecosystems
Guix,apt,dpkg,https://repology.org/project/dpkg/versions,repology
Guix,Bundler,bundler,https://repology.org/project/ruby:bundler/versions,repology
Guix,Cabal,cabal-install,https://repology.org/project/cabal-install/versions,repology
Guix,Cargo,rust,https://repology.org/project/rust/versions,repology
Guix,Conan,conan,https://repology.org/project/conan/versions,repology
Guix,Conda,conda,https://repology.org/project/conda/versions,repology
Guix,CPAN,perl,https://repology.org/project/perl/versions,repology
Guix,CRAN,rmath-standalone,https://repology.org/project/r/versions,repology
Guix,dub,dub,https://repology.org/project/dub/versions,repology
Guix,Go,go,https://repology.org/project/go/versions,repology
Guix,Guix,guix,https://repology.org/project/guix/versions,repology
Guix,Hackage,cabal-install,https://repology.org/project/cabal-install/versions,repology
Guix,Hex,elixir,https://repology.org/project/elixir/versions,repology
Guix,Julia,julia,https://repology.org/project/julia/versions,repology
Guix,LuaRocks,lua5.2-luarocks,https://repology.org/project/luarocks/versions,repology
Guix,Maven,maven,https://repology.org/project/maven/versions,repology
Guix,Nix,nix,https://repology.org/project/nix/versions,repology
Guix,opam,opam,https://repology.org/project/opam/versions,repology
Guix,pip,python-pip,https://repology.org/project/pip/versions,repology
Guix,Poetry,poetry,https://repology.org/project/poetry/versions,repology
Guix,RubyGems,ruby,https://repology.org/project/ruby/versions,repology
Guix,uv,uv,https://repology.org/project/uv/versions,repology
Hackage,Cabal,cabal-install,https://hackage.haskell.org/package/cabal-install,manual
Homebrew,apt,apt,https://repology.org/project/apt/versions,repology
Homebrew,Bun,bun,https://github.com/oven-sh/homebrew-bun,manual
Homebrew,Bundler,ruby,https://formulae.brew.sh/formula/ruby,manual
Homebrew,Cabal,cabal-install,https://repology.org/project/cabal-install/versions,repology
Homebrew,Cargo,rust,https://repology.org/project/rust/versions,repology
Homebrew,CocoaPods,cocoapods,https://repology.org/project/cocoapods/versions,repology
